name,V1,V2,V3,V4,V5,V6,V7,V8,V9,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85
CA230345,CA230345,C14001,Tuza,no,Museo del Oro,Colombia,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,lightening bolt - burnished on top of red paint,-0.219277669,0.043996368,0.027996939,0.003299173,0.002860069,-0.012458196,0.007495246,-0.008401747,-0.001839245,-0.008305038,-0.001917472,0.004874586,0.003694498,0.001278387,-0.002597564,-0.002208009,0.00281827,-0.000725462,0.000664945,-0.001644234,0.00324593,-0.00445689,0.00083322,-0.004660315,0.005193369,0.001524231,-0.001401531,0.000807326,0.004243385,0.000712428,0.002424955,-0.000617599,0.001673562,0.001911412,-0.002425653,0.000692861,-0.000150024,0.001626224,0.001087631,-0.00063663,-0.001741387,0.00038234,0.000191736,-0.000112276,-0.00067118,-0.000436937,0.001282362,-0.001550497,0.000524855,-0.000333929,0.000962687,-0.000694901,0.001537878,-0.000976263,0.000531983,-0.000298148,-0.0007038,-0.000776954,0.000457248,9.66E-05,0.000432803,0.000369537,-0.000148351,-0.000120955,-0.000145071,-0.00049657,0.000218431,-0.000315478,-0.000307085,-0.000163424,1.16E-05,-3.79E-06,0.000540605,-0.000269042,0.000483489,5.15E-05,-0.000180433,-0.00019484,-0.000121422,-1.68E-05,-0.000224202,-4.50E-05,-0.000271969,-6.79E-05,-1.18E-16
CA230347,CA230347,C13752,Piartal,no,Museo del Oro,Nariño,tenencia a María Victoria Uribe,,geometric - very worn with pitting,-0.219437718,0.03840343,-0.017232628,-0.003068012,-0.013294835,0.033930469,-0.022815388,0.015146526,0.002361766,0.004681062,-0.004870283,-0.014726324,-0.01035023,0.007103043,0.000403313,0.002363785,-0.001971643,0.003418331,-0.003205502,0.001910475,0.004189382,-0.00183555,0.001489362,-0.000622657,0.003813566,-0.000224962,0.000543334,-0.001756831,-0.000924488,0.002414573,0.000818881,-0.001348679,0.00031265,-0.002471539,0.00133992,-0.001803541,0.000385827,-0.000673991,9.68E-05,-0.001756289,0.000420825,6.75E-05,-0.001641625,0.001046461,0.000361908,-0.000855288,-0.000813167,0.000177284,-0.000346381,1.88E-05,-0.000267635,0.001182567,0.001274952,0.000873433,-0.000132124,5.53E-05,-0.000969392,0.000219677,0.000712846,-0.000519604,0.000687344,9.94E-05,0.000481041,1.79E-05,-0.000423518,-0.000351419,3.66E-05,-6.40E-05,-0.00053698,5.82E-05,0.00018469,0.000395026,-0.000309595,-0.000197651,-0.000183378,0.000176654,0.000193671,0.000336547,-9.62E-06,-8.37E-06,-6.30E-05,-0.000278656,-0.000120261,0.000204457,-1.08E-16
CA230348,CA230348,C04870,Capulí,no,Museo del Oro,Colombia,compra a Camilo Orbes,,circle motif,0.251708889,-0.026246819,0.001561334,0.054338216,-0.027599258,-0.004505065,-0.011945647,-0.033242311,-0.012255649,-0.001457992,0.017401686,0.002009215,-0.008343322,-0.00584875,-0.007648536,-0.008336767,0.006845845,0.003702536,0.007845395,-0.00130291,0.001120975,0.001715166,0.003426185,0.006548816,0.00598791,0.000849218,-0.001995298,-0.000105111,0.001358534,0.004137489,0.005480879,-0.007378736,0.001698173,0.005839788,-0.002522691,-0.000328557,0.000195029,-0.002938689,0.001309225,0.000330955,-0.001643995,0.001242241,-0.001200006,-0.000735928,0.001123369,0.000757176,-0.000168573,0.001280715,0.000396481,-0.000178625,-0.000478727,-0.000160602,0.000303222,0.000630748,-0.00102912,0.000731028,-6.56E-05,0.000404499,0.00050233,0.000277523,5.84E-05,-0.000262129,0.000221426,-0.000402665,-0.00011424,2.70E-05,-0.000358717,-0.000135288,7.17E-05,9.63E-05,-4.84E-05,-3.35E-05,-8.59E-05,0.000194321,-0.000119582,8.58E-05,-1.65E-05,5.26E-06,4.57E-05,-9.05E-05,8.58E-06,6.37E-05,2.96E-05,-3.77E-06,2.13E-18
CA230349,CA230349,C05539,Capulí,no,Museo del Oro,Nariño,Compra a Ángel Peña,,circle motif,-0.183783302,-0.020796066,0.022946039,0.005363714,0.013033835,0.031969639,0.018306893,0.018937665,-0.001003607,0.017118169,-0.003689078,0.003915134,-0.001338286,0.006003285,-0.002851567,0.003724707,0.002468529,0.001626779,0.001511865,-0.002923559,-0.001282473,-0.001986961,0.000502792,0.006991874,-0.00051824,-0.00402756,0.002431568,-0.001498617,-0.001911931,-0.001479583,-0.001593945,-0.001393116,-0.001986305,0.003510661,-0.001440946,0.001313763,-0.000629466,0.000937759,-0.000443969,-0.001447501,-0.000295406,3.81E-05,0.000344065,-0.002446122,0.000460721,0.001027234,0.000585045,0.000114947,0.001385036,0.00032853,6.39E-06,-0.000319358,0.000394455,0.000844526,0.001105619,-0.001110896,-0.000525622,0.000502561,-0.000964637,0.00054772,-0.00051842,0.000284842,0.000186027,0.000500286,0.000557091,-0.000200248,-0.00043908,0.000127095,-0.000463447,-0.000204811,0.000526277,0.000293453,0.000137572,1.63E-05,0.000185213,1.08E-05,0.000240575,0.000280315,0.000373687,-7.64E-05,-1.47E-05,9.21E-05,-2.04E-05,-7.87E-05,-7.04E-17
CA230350,CA230350,C09908,Capulí,no,Museo del Oro,Nariño,Compra a Guillermo Cano Mejía,,circle motif w/ geometric,0.173073689,-0.095893241,0.078064735,0.002825013,-0.077346295,-0.010092987,0.014657207,0.013994685,0.008052363,-0.006780092,0.011139741,-0.006869671,0.000673685,-0.006859673,0.002882631,0.004636949,0.007414329,-0.003767594,-0.006854993,-0.003814947,-0.001251276,-0.010543743,0.000862443,0.007066584,0.00211006,0.005414759,-0.002259111,-0.002621176,-0.002587543,-0.00017361,0.001736694,-0.000761335,0.000560481,0.001435319,0.00509097,-0.000798684,-0.002780805,-0.002823404,-0.001188425,0.00232265,0.002374939,-0.001230293,0.001456287,-9.70E-05,0.000287205,-0.000604778,-0.000578765,-0.000857459,8.81E-08,0.001719809,0.001229356,-0.000111096,-0.000241064,-0.000382825,2.58E-05,-0.00118853,0.000280283,-0.000107133,0.000246538,0.000166455,0.000281633,7.64E-05,-4.81E-06,0.000265746,-0.000434444,-0.000364052,0.000265653,3.32E-05,-4.05E-05,-1.41E-05,0.000172815,-0.000116294,5.41E-05,-4.66E-05,3.84E-06,-2.95E-05,-3.63E-05,-2.41E-05,4.72E-05,-7.15E-06,3.01E-05,-6.45E-06,-8.82E-07,-1.65E-05,1.10E-16
CA230352,CA230352,C03989,Piartal,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,very shiny with 4 pointed triangular decoration,-0.051350622,-0.069612891,-0.086427542,-0.020575276,0.037291478,-0.018953768,-0.034009253,0.00758823,0.012822496,-0.015304866,0.008592492,0.004961684,0.00022739,-0.0113733,-0.003925073,-0.005348159,-0.001113293,0.006380737,0.005599805,-0.008420763,-0.001982166,-0.003431897,-0.002394911,-0.007984467,-0.003950049,0.000457784,0.001525233,-0.003407515,0.000684761,-0.000698539,-0.000835163,-0.005045599,-0.002966533,-0.000341942,0.002837837,-0.002942506,0.000346735,0.000340376,0.001995158,-7.07E-05,0.001194698,-0.001046999,0.001332778,-0.00244378,-0.000261938,-0.000978981,-0.000451921,0.002165204,0.001372923,0.000131715,-0.000561028,0.000289709,-0.000350393,6.76E-07,-0.000349248,-0.000486938,-0.000932607,0.000455975,0.000313033,-0.0009914,4.62E-05,0.000140533,-0.000201058,-1.90E-06,0.000211294,-0.00032981,0.000133692,0.000245865,0.000358909,-0.000134625,-6.91E-05,5.54E-05,4.14E-05,-0.000271532,0.000268739,-9.81E-05,-8.77E-05,-0.00013459,8.98E-05,-0.000108576,4.50E-05,-6.85E-05,2.17E-05,7.22E-06,-8.15E-17
CA230353,CA230353,C06216,Tuza,no,Museo del Oro,Pupiales,Compra a Ángel Peña,,"geometric, mix of lines and dots on the interior",-0.214811411,0.021666641,0.055206019,-0.003899275,0.003649039,-0.015638558,-0.006149858,-0.007722032,-0.00463812,-0.004069424,-0.002165599,0.001616484,0.002262907,0.002579967,0.00070242,-0.005171872,-0.002563899,-0.000129816,-0.001123064,-0.00215743,0.000120386,-0.00417673,0.001865724,0.003203916,-0.003881409,-9.51E-06,0.003303646,0.001666494,0.00081877,-0.000282653,-0.001600699,0.000251725,-0.00021158,-0.00056579,-0.001974846,-0.000951955,-0.001125881,0.000351977,0.000270542,0.001146176,0.000598054,-0.001003365,0.000460666,-0.000490686,0.00130519,0.001401993,-0.000419501,-0.001144708,0.000547282,0.000340055,-0.000464431,0.000274049,0.000682585,-0.001016442,0.000224336,0.000257424,0.000733454,-4.48E-05,4.30E-06,-8.01E-05,-0.000697602,-6.31E-05,0.000582601,-0.000418662,-6.03E-06,0.000340255,2.86E-05,0.000609731,0.000361261,0.000187662,0.000132912,0.000289466,-0.000428115,-0.000556826,-0.000538104,0.000281536,-0.00022654,-5.65E-06,-2.57E-05,-0.000290319,-0.000222707,-0.000116215,-4.36E-05,-0.000181514,-1.85E-16
CA230354,CA230354,C05511,Tuza,no,Museo del Oro,Nariño,Compra a Ángel Peña,,hatched interior with birds,-0.216147335,0.022738777,0.049341218,0.008181528,0.0094575,0.001922773,0.028611048,-0.006930937,-0.001097322,-0.005903494,-0.002026304,0.016557864,0.006899424,-0.005240957,-0.000996763,-0.000421288,0.006743911,0.00142242,0.002204414,-0.000565576,0.001725494,0.000893185,-0.002061067,-0.003002605,0.000485995,0.001692605,0.001895798,-0.000492971,0.001010533,-0.000845267,0.002104755,-0.001064832,-0.000950958,-0.000752334,0.002213104,0.001861707,-0.000440178,0.00099032,0.000202415,2.31E-05,-0.000777412,0.001692182,-0.000218263,-0.000231309,0.000739914,-4.81E-05,0.001813506,0.00048248,0.000467582,0.000156611,1.54E-05,-0.000438513,-0.000787705,0.000153369,-0.000653186,-0.001561017,0.000130356,0.000943185,-0.000220224,0.000619806,9.37E-05,0.000627093,0.000555716,0.000180851,0.00035774,0.000466081,1.19E-05,-0.000388371,0.00024871,0.000326678,-0.000154382,-0.000272499,3.17E-05,-0.000507236,-0.000210662,0.000554431,-1.24E-05,0.000103587,-0.000128125,0.000346565,5.41E-05,-0.000105314,6.47E-05,0.000110048,-1.27E-17
CA230355,CA230355,459,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 10,spiraling triangle,0.301193867,-0.131335924,0.036125722,-0.042687462,-0.007581147,0.021564107,0.005512287,0.012858762,0.018629999,-0.01876776,-0.005045831,-0.004556069,0.009090064,0.014972296,0.007131478,0.00477822,0.004202119,0.007626238,-0.000853366,0.013738986,0.004658577,-0.006032623,-0.003803117,-0.004449947,0.002137267,-0.00089364,-0.001883378,0.001080972,0.000232655,-0.003912267,0.001735042,0.003778928,0.00219102,0.001986471,-0.004130508,-0.00263479,-0.001214844,-0.001300968,0.0022958,-0.001186451,-0.000258095,-0.001197578,-0.000342418,-0.001985727,0.00035556,-0.000257117,0.000142892,-0.000599692,0.000319444,0.000887395,-0.000268769,-0.00153675,-0.000524368,0.000356609,-0.001426306,0.000633429,-0.000259206,-0.000120881,-0.000674411,-0.000846744,-7.69E-05,-0.00048225,-8.77E-05,-2.20E-07,0.000193364,0.000529269,4.56E-05,-5.55E-05,5.05E-05,0.000203938,0.000113694,6.79E-05,-2.09E-06,2.57E-05,7.94E-05,8.98E-05,3.62E-05,1.90E-05,-3.03E-05,1.78E-05,7.75E-06,-4.69E-05,2.30E-05,2.59E-05,1.84E-16
CA230356,CA230356,30,Piartal,yes,Catambuco - Site 8,Site 8 - Catambuco,Monitoreo,8 M 3,geometric interior with triangles,-0.125162036,0.006960988,-0.0757142,-0.012628836,-0.037715908,-2.81E-05,-0.020759458,0.006834115,-0.001705342,0.008407547,-0.009281062,0.016303683,-0.00041241,-0.003609949,0.00303933,0.010494999,0.016559155,0.00246579,-0.006742745,0.005370348,-0.004395804,0.007753409,0.004469817,-0.00101731,-0.001027979,-0.001275348,-0.002324513,-0.000591926,-0.001169762,-0.000941342,-0.000390142,-0.00018412,-0.000595978,0.000999976,-0.000227965,0.001439689,-7.08E-05,0.002597486,0.000589652,0.003396823,0.000513891,0.0004389,-0.0006231,0.000306534,0.001492241,-0.00153649,0.000211134,-0.000648906,0.002042572,-0.000374205,5.28E-06,0.001622638,0.00093053,-0.000312186,-0.001129243,0.000788956,-0.000951776,-0.001275438,-0.000134393,0.00041847,-0.000327188,0.000252581,-0.000572665,-0.000421493,0.000193646,0.000205515,0.000173346,0.000439625,0.000142869,7.44E-05,0.000146427,-0.000219419,-1.79E-05,-0.000179005,6.06E-05,-0.00011938,7.95E-05,0.000197961,-5.00E-06,5.04E-05,3.61E-05,3.71E-05,3.12E-05,3.58E-06,5.48E-17
