CA Number,ID,Collection,Site,context,tomb,material,Ware?,vessel form,pXRF,3D scanned object,Raman Spectroscopy,SEM-EDS
CA230164,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,Tuza,fragment,Yes,No,No,No
CA230166,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,undecorated?,fragment,Yes,No,No,No
CA230167,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,undecorated,fragment,Yes,No,No,No
CA230168,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,red slip,fragment,Yes,No,No,No
CA230169,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,red slip,fragment,Yes,No,No,No
CA230170,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,red slip,fragment,Yes,No,No,No
CA230173,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,undecorated,fragment,Yes,No,No,No
CA230174,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,undecorated,fragment,Yes,No,No,No
CA230175,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,undecorated,fragment,Yes,No,No,No
CA230286,BOM-2 080,Bomboná,Bomboná -Los Eucaliptos,"Tumba 8b, Pieza B18 (Bomboná)",,ceramic ,undecorated,fragment,Yes,No,No,No
CA230287,BOM-1 085,Bomboná,Bomboná - no known location,,,ceramic ,anthropomorphic black/Carmelite vessels,fragment,Yes,No,No,No
CA230288,BOM-1 096,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,Piartal,fragment,Yes,No,No,No
CA230289,BOM-1 176,Bomboná,Mun. de Consacá,,,ceramic ,Tuza?,fragment,Yes,No,No,No
CA230290,BOM-1 179,Bomboná,Tinajillas (Mun. de Consacá),,,ceramic ,Tuza,fragment,Yes,No,No,No
CA230291,BOM-2 213,Bomboná,Bomboná -Los Eucaliptos,"Tumba 8b, Pieza B18",,ceramic ,undecorated,fragment,Yes,No,No,No
CA230292,BOM-1 231,Bomboná,Bomboná,,,ceramic ,Tuza,fragment,Yes,No,No,No
CA230293,BOM-1 303?,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,undecorated,fragment,Yes,No,No,No
CA230294,BOM-1 305,Bomboná,San Antonio (Bomboná),,,ceramic ,undecorated,fragment,Yes,No,No,No
CA230295,BOM-1 326,Bomboná,Bomboná,,,ceramic ,undecorated,fragment,Yes,No,No,No
CA230296,BOM-1 329,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,Piartal,fragment,Yes,No,No,No
CA230297,BOM-2 372,Bomboná,Bomboná,,,ceramic ,undecorated,fragment,Yes,No,No,No
CA230298,BOM-1 373,Bomboná,Bomboná - no known location,,,ceramic ,amazonia? ,fragment,Yes,No,No,No
CA230299,BOM-1 378,Bomboná,Mun. de Pupiales,,,ceramic ,Capulí,fragment,Yes,No,No,No
CA230301,BOM-1 479,Bomboná,Bomboná -Los Eucaliptos,,,ceramic ,undecorated,fragment,Yes,No,No,No
CA230351,C13178,Museo del Oro,?,,,ceramic ,NA,mask,Yes,No,No,No
CA230436,CVUS_588a,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,fragment,Yes,No,No,No
CA230437,CVUS_588b,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,fragment,Yes,No,No,No
CA230438,CVUS_592,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,fragment,Yes,No,No,No
