sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230141,5,fabric,University of Cambridge,01/08/2023,,1.68,19.29,60.26,,1.01,1.8,0.81,0.03,2.35,,,63,47,454,7,145,10,16
CA230141,3,cream,University of Cambridge,01/08/2023,,,17.18,64.88,,1.11,1.69,1,0.03,2.3,,,43,,466,8,144,9,15
CA230142,3,cream,University of Cambridge,01/08/2023,,,16.04,66.44,,1.11,2.05,0.61,0.03,2.18,,,30,,451,6,136,13,
CA230142,5,fabric,University of Cambridge,01/08/2023,,,18.02,63.48,,1.04,2.01,0.64,0.03,2.01,,,41,50,488,7,139,10,17
CA230142,3,black ,University of Cambridge,01/08/2023,,,13.6,68.45,,1.4,2.15,0.66,0.03,2.27,,,36,,517,6,135,7,15
CA230143,3,red,University of Cambridge,01/08/2023,,,13.16,59.23,,1.06,1.6,0.95,0.03,3.24,,,44,,458,8,174,16,20
CA230143,5,fabric,University of Cambridge,01/08/2023,,,17.07,56.78,,0.96,1.7,0.82,0.05,2.46,,,43,45,473,11,199,20,16
CA230143,3,black ,University of Cambridge,01/08/2023,,,14.4,64.31,,1.4,1.71,0.92,0.04,2.36,,,39,,481,7,179,21,15
CA230144,3,cream,University of Cambridge,01/08/2023,,,17.77,67.54,,1.51,1.77,0.78,0.04,2.48,,,38,,463,7,185,14,
CA230144,3,black ,University of Cambridge,01/08/2023,,,14.1,66.53,,1.37,2.01,0.92,0.05,2.48,,,34,,440,9,195,11,
CA230144,5,fabric,University of Cambridge,01/08/2023,,,16.34,67.16,,0.94,2.02,0.83,0.04,2.15,,,38,35,446,6,179,12,19
CA230145,3,black ,University of Cambridge,01/08/2023,,,13.86,71.26,,1.41,2.15,0.92,0.04,2.14,,,33,,457,8,193,12,18
CA230145,5,fabric,University of Cambridge,01/08/2023,,1.66,18.07,64.46,,0.93,2.03,0.8,0.04,2.03,,,43,36,457,7,171,12,18
CA230145,3,cream,University of Cambridge,01/08/2023,,,15.45,70.78,,1.35,2.13,1.03,0.04,2.12,,,42,,465,8,225,11,15
CA230146,3,black ,University of Cambridge,01/08/2023,,1.72,17.79,64.44,,1.48,1.78,0.8,0.04,2.46,,,44,,448,7,203,11,
CA230146,5,fabric,University of Cambridge,01/08/2023,,1.68,18.94,62.77,,0.9,1.94,0.86,0.04,2.47,,,44,38,452,8,187,11,
CA230146,3,cream,University of Cambridge,01/08/2023,,,15.59,70.56,,1.35,1.92,0.83,0.04,2.53,,,39,,457,9,174,10,
CA230146,3,red,University of Cambridge,01/08/2023,,,16.75,62.56,,1.07,1.66,1.02,0.03,3.45,,,41,,447,6,180,13,15
CA230147,5,fabric,University of Cambridge,01/08/2023,,,17.5,52.13,,0.99,1.71,0.93,0.05,4.71,,,66,61,442,13,198,17,17
CA230148,5,fabric,University of Cambridge,01/08/2023,,1.7,17.59,58.8,,2.14,1.89,0.68,0.08,4.88,,21,97,95,548,11,181,16,17
CA230149,5,fabric,University of Cambridge,01/08/2023,,1.71,21.28,58.27,,1.04,1.88,0.8,0.07,6.02,,19,89,57,390,13,215,14,16
CA230150,3,red,University of Cambridge,01/08/2023,,,14.43,63.04,,1.69,1.84,1.08,0.04,3.23,,,57,,496,10,153,17,
CA230150,5,fabric,University of Cambridge,01/08/2023,,,15.67,62.6,,1.6,2.05,0.81,0.04,2.16,,,55,57,493,9,152,14,22
CA230150,3,cream,University of Cambridge,01/08/2023,,,14.27,68.89,,1.91,1.99,0.82,0.04,1.98,,,52,,492,7,145,14,19
CA230151,5,fabric,University of Cambridge,01/08/2023,,1.67,18,56.45,,1.25,2.07,0.92,0.06,4.03,,,77,53,559,11,190,13,24
CA230151,3,red,University of Cambridge,01/08/2023,,,17.19,54.28,,1.16,2.04,1.51,0.05,5.54,,,74,,610,16,156,11,23
CA230152,3,red,University of Cambridge,01/08/2023,,,16.47,58.17,,0.91,1.39,1.24,0.03,6.19,,,79,,488,7,167,15,
CA230152,5,fabric,University of Cambridge,01/08/2023,,1.7,20.18,64.02,,1.22,2.03,0.8,0.04,2.67,,16,72,65,501,9,190,13,21
CA230153,5,fabric,University of Cambridge,01/08/2023,,,19.09,61.21,,1.27,1.87,0.85,0.04,3.59,,18,76,63,569,9,184,12,22
CA230154,5,fabric,University of Cambridge,01/08/2023,,,16.82,63.86,,1.29,2.18,0.71,0.04,2.9,,,61,73,565,10,182,15,16
CA230155,5,fabric,University of Cambridge,01/08/2023,,1.7,17.73,61.21,,1.21,2.05,0.86,0.04,3.47,,,46,67,446,12,177,13,16
CA230156,3,cream,University of Cambridge,02/08/2023,,,14.79,64.48,,1.1,1.9,0.76,0.04,2.96,,,33,,426,7,142,14,
CA230156,3,red,University of Cambridge,02/08/2023,,,16.13,61.26,,0.98,1.62,1.01,0.04,3.45,,,31,,434,8,153,9,
CA230156,3,black ,University of Cambridge,02/08/2023,,,15.88,62.42,,1.04,1.77,0.75,0.04,3.8,,,33,,403,8,168,8,
CA230156,5,fabric,University of Cambridge,02/08/2023,,,17.36,60.76,,1.08,1.79,0.87,0.04,3,,,54,39,430,8,159,14,15
CA230157,5,fabric,University of Cambridge,02/08/2023,,1.76,17.34,66.16,,1.21,2.23,0.85,0.07,4.24,,16,55,56,433,12,169,13,17
CA230158,5,fabric,University of Cambridge,02/08/2023,,1.73,17.43,61.14,,1.19,2.48,0.92,0.04,3.76,,16,59,52,540,13,177,18,
CA230159,5,fabric,University of Cambridge,02/08/2023,,1.83,19.7,58.31,,0.84,1.75,0.81,0.03,4.33,,,112,52,326,7,146,,16
CA230160,5,fabric,University of Cambridge,02/08/2023,,1.66,18.74,61.84,,1.11,2,0.71,0.03,3.17,,,47,63,583,10,152,11,18
CA230161,5,fabric,University of Cambridge,03/08/2023,,,20.64,61.29,,1.53,2.14,0.7,0.04,4.7,,22,49,71,585,13,167,13,16
CA230162,5,fabric,University of Cambridge,03/08/2023,,1.83,18.9,63.16,,1.08,2.06,0.72,0.04,2.81,,,79,66,438,8,134,11,17
CA230163,3,red,University of Cambridge,03/08/2023,,1.73,16.23,61.58,,1.88,2,0.76,0.05,3.7,,,44,,696,10,178,15,
CA230163,3,black ,University of Cambridge,03/08/2023,,1.77,7.75,38.98,,0.79,1.17,0.41,0.97,7.4,,22,52,,670,10,174,14,
CA230163,5,fabric,University of Cambridge,03/08/2023,,1.68,16.83,65.32,,1.41,2.27,0.73,0.06,3.06,,,43,48,681,7,165,14,
CA230163,3,cream,University of Cambridge,03/08/2023,,,11.85,61.64,,1.37,2,0.7,0.15,3.54,,,43,,730,11,166,17,19
CA230164,5,fabric,University of Cambridge,03/08/2023,,,16.11,65.18,,1.5,2.26,0.88,0.06,2.87,,,42,48,764,8,162,16,
CA230164,3,red,University of Cambridge,03/08/2023,,,13.85,64.08,,1.66,2.36,0.79,0.04,3.27,,,64,,753,10,203,16,22
CA230164,3,cream,University of Cambridge,03/08/2023,,,12.27,64.45,,1.54,2.38,0.71,0.06,2.85,,,44,,770,8,176,16,19
CA230164,3,black ,University of Cambridge,03/08/2023,,,10.42,52.68,,1.24,1.94,0.6,0.36,4.45,,15,50,,758,10,178,18,17
CA230165,3,red (ext),University of Cambridge,03/08/2023,,1.76,14.18,67.27,,1.72,2.17,1,0.04,4.06,,,62,,681,8,167,19,
CA230165,3,red,University of Cambridge,03/08/2023,,,19.39,43.07,,2.01,0.69,1.29,0.1,9.86,,127,77,,590,12,174,18,
CA230165,5,fabric,University of Cambridge,03/08/2023,,1.71,15.44,61.98,,2.08,1.96,0.67,0.05,3.41,,,66,65,701,9,206,19,18
CA230166,5,fabric,University of Cambridge,03/08/2023,,,16.77,66.77,,1.51,2.18,0.66,0.07,2.8,,,41,47,677,10,163,12,
CA230167,5,fabric,University of Cambridge,03/08/2023,,,18.21,58.8,,1.1,1.64,0.81,0.08,4.47,,,56,42,476,10,223,17,18
CA230168,3,red,University of Cambridge,03/08/2023,,,13.62,47.35,,0.52,1.42,1.34,0.07,8,,31,53,,651,12,207,19,
