Test Label,Date,sample,component,rep,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Au Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration
3 [Col],31/07/2023,NIST 2711a,std,rep 3,13621.3,69320.5,266486.9,43.1,<LOD,25504.7,23554.3,3314.9,<LOD,35.3,777.2,29070,146.7,18.9,193.1,377.6,136.7,4,120.1,249.9,37.8,341.5,28.1,11,<LOD,75.8,42.9,73.4,963.8,35.9,<LOD,11.4,1349.7,<LOD,<LOD,<LOD,725256.9
4 [Col],31/07/2023,NIST 2711a,std,rep 4,14380.6,72043.2,269929.3,61.3,<LOD,26112,23385,3464.4,219.1,49.6,568.4,29471.8,52.8,3,187.1,375.7,142.2,3,122.3,261,22.2,285.1,20.9,4.5,17.1,102.7,75.3,63.7,1036.1,<LOD,<LOD,4.8,1293.7,<LOD,10.7,<LOD,718363
5 [Col],31/07/2023,NIST 2711a,std,rep 5,14976.1,71722.3,268740.2,<LOD,<LOD,26303.7,24051.2,3229.9,164.5,114.5,576.3,28453,<LOD,28.1,176.1,396.1,121.6,1.7,116,252.7,32.6,284.3,17.7,6.2,27.7,80.4,66.2,88,620.7,19.1,<LOD,6.1,1353.4,<LOD,18.2,<LOD,720158.5
6 [Col],31/07/2023,NIST 679,std,rep 1,9769,89984.2,217554.2,<LOD,<LOD,23425.3,1519.1,5332.2,140.6,<LOD,1674.5,93830.3,188.1,36.8,83.7,121.7,23.5,5.4,181.8,45.3,38.8,163,24.5,8.9,25.1,30.9,69.8,28.2,720.3,52.3,<LOD,<LOD,4,<LOD,<LOD,4.2,708046.1
7 [Col],31/07/2023,NIST 679,std,rep 2,9769,88735.2,217199.4,<LOD,<LOD,24070.1,1565.6,5352.6,<LOD,106.8,1667.1,92355.9,265.2,43.6,60.8,104.6,17.2,2.1,186.6,52.2,45.8,168.9,22.7,20.9,53.2,57.3,71.9,118.5,1329.7,54.8,<LOD,<LOD,18.9,<LOD,27.8,6.7,709568.3
8 [Col],31/07/2023,NIST 679,std,rep 3,9769,89633.5,219551.7,<LOD,<LOD,23684,1457.3,4556,72.5,52.3,1651.1,92242.3,180.6,27.3,30.6,113.6,19.1,2.3,190,47.9,35.1,152.9,21.8,7,21.5,<LOD,58.7,142.5,1683.3,18.7,<LOD,<LOD,12.6,<LOD,29.3,<LOD,707894.7
9 [Col],31/07/2023,NIST 679,std,rep 4,9769,86618,216105.1,<LOD,<LOD,23349.8,1519,5142.6,107.5,80.4,1513.9,87108.9,375.3,28,78.5,115.8,23.1,3.2,180.1,45.1,38.7,146.1,13.3,12.6,32.5,71.6,72.3,59.4,1479.7,<LOD,<LOD,<LOD,9.7,<LOD,32.7,<LOD,718165.8
10 [Col],31/07/2023,NIST 679,std,rep 5,11982.6,88737.1,218700.1,<LOD,<LOD,23745.8,1447.8,6006.9,<LOD,80.3,1588.8,87990.1,260.1,53,48.2,125.1,11.4,4.4,182.8,53.3,40.1,150.6,22.3,20.6,31.5,20.1,72.8,65.5,<LOD,<LOD,<LOD,<LOD,15.1,<LOD,15,<LOD,711190.1
11 [Col],31/07/2023,SARM 69,std,rep 1,9769,79809.1,273396.7,174.4,<LOD,17892.1,14871.3,4675.6,285.1,174.8,951.5,51263,195.6,57.4,94.8,80.4,6.7,3.5,78.3,99,32.5,301.8,7.1,13.2,31.5,40.1,33.4,52.2,416.9,<LOD,<LOD,<LOD,12.6,25.5,<LOD,<LOD,703392
12 [Col],31/07/2023,SARM 69,std,rep 2,12466.3,79839.8,275590.9,214.6,<LOD,18162.1,15119.5,4471.6,156.1,85.4,1021.8,52636.5,92.3,55.5,68.1,69,7,4.5,73.9,99.7,29.8,307.8,6.7,15,25.5,48,45.4,69.8,940.2,18.9,<LOD,<LOD,15.1,<LOD,19.7,6,696404.9
13 [Col],31/07/2023,SARM 69,std,rep 3,11503.8,79102.5,273846.4,183.9,<LOD,17480.9,15017,4695,358.6,116.2,1012,49654,309.9,57.9,64.7,68.3,7,4,77.2,100.6,30.6,240.8,17,12.3,<LOD,28.7,34.1,51.1,<LOD,<LOD,<LOD,<LOD,14.9,<LOD,7.8,<LOD,703627.4
14 [Col],31/07/2023,SARM 69,std,rep 4,12680.5,77637.8,268016.8,200.7,<LOD,16973.2,14587,4004.3,231.3,253.7,918.7,48230.5,203.1,40,59.2,57.4,3.8,3.3,69.8,112.8,28.7,257.6,9.9,14.6,20.1,36.5,46.5,92.1,502.8,17.9,<LOD,<LOD,13.6,<LOD,<LOD,<LOD,711133.7
15 [Col],31/07/2023,SARM 69,std,rep 5,9769,52187,183229.4,51.2,<LOD,9859.6,6761.3,2140.5,41.2,59.4,409.9,22205.3,<LOD,10.1,26.9,22.7,1.2,2.6,30.6,<LOD,10.4,66.5,2.1,5.8,<LOD,<LOD,<LOD,23.6,483.5,6.6,<LOD,<LOD,4,<LOD,5,<LOD,851772.3
2 [Col],01/08/2023,NIST 2711a,std,rep 1,11843.7,68700.7,264254.4,<LOD,<LOD,25573.2,23266.5,3299.8,<LOD,64.5,697.1,28108.3,<LOD,25.6,152,401.2,143.9,<LOD,117.8,251.6,31.4,332.6,14.5,4.1,16.3,81.8,78.5,82.3,1652.1,<LOD,6.9,13,1289,33.5,<LOD,<LOD,730576.2
3 [Col],01/08/2023,NIST 2711a,std,rep 2,9769,70251.3,267427.2,<LOD,<LOD,25509.2,23212,2777.9,98.4,111.2,597.4,28949.6,<LOD,19.5,177.7,413.3,137.9,4.6,124.2,260.5,39.7,303.7,19.5,10.7,32.6,109.9,<LOD,29.2,1582.9,<LOD,<LOD,<LOD,1324.2,<LOD,10,6,728713.1
4 [Col],01/08/2023,NIST 2711a,std,rep 3,13338.4,71830,264324.8,<LOD,<LOD,25853.1,23069.1,3686.3,163.8,122.5,669.6,28173.8,160.5,25.1,173.6,381.6,124.8,<LOD,114.7,257.7,30.5,279,15.3,6.8,20.8,69.2,<LOD,53.8,977.5,<LOD,5.7,<LOD,1303.2,<LOD,<LOD,<LOD,726343.8
5 [Col],01/08/2023,NIST 2711a,std,rep 4,15708.5,70646.7,267313.9,<LOD,<LOD,26339.3,23682.4,3502.5,122.3,46,728,28834,89.2,22.6,179.5,413.6,136.6,5.4,117.7,261.6,44.5,322.4,23.6,7.7,33.7,91.2,44.3,47.4,1019.5,<LOD,<LOD,<LOD,1369.1,21.1,<LOD,<LOD,720410.7
6 [Col],01/08/2023,NIST 2711a,std,rep 5,12120.7,71407.3,268031.3,64.2,<LOD,26422,24401.2,3912,150.1,58.2,679.7,29438,101.4,25.9,160.6,422.5,147.8,<LOD,122.8,267.4,34.8,334.3,21.2,5.5,<LOD,43.8,47.5,46.2,390.8,42.5,<LOD,8.4,1353.2,<LOD,18.3,<LOD,722389.5
7 [Col],01/08/2023,NIST 679,std,rep 1,9769,93168.4,221370.9,<LOD,<LOD,24086.2,1523.9,5328.1,145.2,62.8,1523.7,92412.5,172.9,56.9,57.3,144.7,21.1,4.5,187.4,50.6,36,164.2,14,10.4,24.9,<LOD,80,62.1,1011.4,<LOD,<LOD,8.1,12.6,<LOD,28.9,<LOD,702858.2
8 [Col],01/08/2023,NIST 679,std,rep 2,9769,91607.8,219989.6,<LOD,<LOD,23919.2,1474.7,5399.4,90.7,84.8,1737.3,91561.9,<LOD,43.3,32,123.1,27.5,3.3,182,42.3,35.9,154.1,14.6,15.4,<LOD,25.1,40.4,54.8,1154,28,<LOD,<LOD,11.4,<LOD,14.6,<LOD,706225.1
9 [Col],01/08/2023,NIST 679,std,rep 3,9769,94451.2,225959,<LOD,<LOD,24593.6,1587.4,5322.5,385,62.1,1707.1,91478.7,139.6,61.1,49.1,122.4,30.1,3.4,196.5,48.2,40,160.7,14.3,<LOD,37.7,38.6,73.4,55.7,348.3,30.3,<LOD,<LOD,8.7,<LOD,30.4,<LOD,698463.5
10 [Col],01/08/2023,NIST 679,std,rep 4,9769,92202.6,222986.3,<LOD,<LOD,24206.9,1548.3,5005.3,197.9,67.6,1615.2,92459.4,243.7,62.9,83.4,120.5,19.7,7.1,186.5,52.5,32.8,150,21.7,18.3,26.1,45.6,53.2,55.1,1731.9,<LOD,<LOD,9.6,13.7,<LOD,20.7,<LOD,701383.5
11 [Col],01/08/2023,NIST 679,std,rep 5,12465.8,88922.6,216343.9,<LOD,<LOD,23753.1,1551.3,5339.9,130.9,75.2,1556.9,89229.1,179.8,53.4,62.3,114.6,16.8,5.9,189.4,46.9,42.3,158.4,8.1,<LOD,<LOD,16.8,66.5,105.7,1372.8,35.2,<LOD,7.8,16.2,<LOD,35.2,<LOD,710621.7
12 [Col],01/08/2023,SARM 69,std,rep 1,11314,75952.4,262828.5,134.6,<LOD,17176.5,14046.4,4530.5,103.7,161.2,949.6,51165.8,244.2,50.1,61.3,47.1,6.2,3.5,74.1,108.6,35.8,329.7,11.8,6.7,14.5,20.9,40.2,58.8,1787.5,56.4,<LOD,<LOD,16.8,35.2,<LOD,<LOD,714367.8
13 [Col],01/08/2023,SARM 69,std,rep 2,13411.2,79157.7,268087.8,83.9,<LOD,17563.2,14462.4,5371.1,93.1,198.5,993.5,52934.1,109.3,49,73.3,83.7,5.7,1.9,78.4,114.8,35.2,313.1,3.7,5.9,<LOD,40.2,61.1,61.8,930.1,19.8,<LOD,<LOD,15.9,25.2,<LOD,<LOD,702356.9
14 [Col],01/08/2023,SARM 69,std,rep 3,12100.2,78886.3,271695.6,158.2,<LOD,17329,14509,4670.8,181.8,108.1,1033.6,51405.9,79.9,59.6,61.2,56.4,10.5,5.6,81.3,112.6,34.4,268.2,10.1,17.4,12.6,44,46.3,47.5,712.5,24.1,<LOD,<LOD,13.1,52.1,<LOD,5.4,703324.5
15 [Col],01/08/2023,SARM 69,std,rep 4,11440.9,77238.6,270726.4,116.4,<LOD,17827.7,14660.7,4715.9,117.1,251.7,925.6,51576.4,<LOD,67.3,84.5,63.1,7.5,3.6,79.2,97.4,31.1,271.4,12.9,11.6,<LOD,28.8,52.8,<LOD,664.9,40.7,<LOD,<LOD,14.4,<LOD,7.8,<LOD,705949.6
16 [Col],01/08/2023,SARM 69,std,rep 5,13479.1,79346.6,271069.4,217.7,<LOD,17895.5,14634.7,4181.8,194.9,164.7,885.3,51153.6,62.6,32.4,58.7,58.9,10.6,3.3,77.9,93.3,35.1,259,9.3,16.3,<LOD,43,32.5,42.6,1277.1,32.2,<LOD,6.8,10.9,<LOD,9.7,<LOD,701909.2
2 [Col],02/08/2023,NIST 2711a,std,rep 1,14904.3,72373.6,267316.1,63.9,<LOD,25672.6,23292.2,3755.4,160.3,<LOD,721.4,29710.7,93.7,21.5,195.3,408.8,125.7,2.4,117.5,272.3,31.4,321.6,19.3,11,35.7,84.2,75.9,106.4,633.6,<LOD,<LOD,13.7,1324.3,<LOD,10.7,<LOD,719786.7
3 [Col],02/08/2023,NIST 2711a,std,rep 2,13846,68572,265496.3,<LOD,<LOD,25726.5,22985.6,3413.4,128.7,<LOD,562.1,28755,75.5,11.4,158.1,404.2,129.8,4.7,123.2,266.5,32.8,303.3,21.8,8.7,15.6,96.9,38.3,62.9,1701.8,<LOD,5.9,<LOD,1295.3,26.1,<LOD,<LOD,726537.3
4 [Col],02/08/2023,NIST 2711a,std,rep 3,15486.9,69826.7,265869.5,<LOD,<LOD,25236.5,23313.5,4110.9,133.4,64.2,642.3,28957.6,127.5,16.9,167,394.5,93.4,3.3,109.7,270.9,38.6,299.7,22.4,<LOD,16.2,90.8,28.5,88.5,838,<LOD,6.2,7.8,1301.8,<LOD,<LOD,<LOD,723147.2
5 [Col],02/08/2023,NIST 2711a,std,rep 4,13166,70375.6,273831.8,<LOD,<LOD,26689.4,23746.1,3861.6,<LOD,<LOD,657.4,30413.2,103.3,22.7,177.2,397.3,169.2,3.6,117.3,261.7,30.3,288.8,18.4,15.8,<LOD,93.2,<LOD,80.6,2215.8,44.7,<LOD,15.2,1365.5,<LOD,20.5,8.1,714400.6
6 [Col],02/08/2023,NIST 2711a,std,rep 5,13497.5,70781.5,270252.5,<LOD,<LOD,26623.9,23924.9,3630.2,204.6,34.7,606.2,29020.2,<LOD,15.1,154.6,397.8,127.9,6.4,116.5,261.8,34.4,284.7,23,6.6,27.8,104.7,38.8,56,1025.7,44.4,<LOD,<LOD,1320,<LOD,<LOD,<LOD,719794.5
7 [Col],02/08/2023,NIST 679,std,rep 1,9769,91872.5,223046.5,<LOD,<LOD,24141,1455,5173.9,197.3,158.7,1442.5,89659.9,373.7,60.8,74.5,124.2,30.5,2.9,189.4,52.1,42.5,160.1,8.4,7,<LOD,34.7,97.5,130.9,1026.5,26.7,<LOD,<LOD,12.2,<LOD,27.4,<LOD,704868.4
8 [Col],02/08/2023,NIST 679,std,rep 2,9769,90330.7,218594.9,<LOD,<LOD,24268.3,1559.9,5656.4,84.7,40.8,1627.5,93097.5,96,78.7,39.2,119.3,14,5.7,189.9,45.1,33.8,157.7,23.6,10.4,23.2,53.4,55.4,108.5,913.4,20.4,<LOD,<LOD,8.8,20.5,<LOD,<LOD,706575.4
9 [Col],02/08/2023,NIST 679,std,rep 3,9769,94513.5,227128,<LOD,<LOD,24955.6,1642.4,5744.4,117.8,98.4,1714.4,93163.2,211,50.2,104.9,125.7,18.8,2.7,197.6,49.4,36.2,167.9,27.5,13.7,26,31.7,54.2,56.5,492.6,52.1,<LOD,<LOD,16.4,<LOD,13.5,<LOD,694911.3
10 [Col],02/08/2023,NIST 679,std,rep 4,9769,91120,221946.5,<LOD,<LOD,24655,1482.5,5645.7,86.9,70.4,1648.4,91807.2,<LOD,23.3,80.2,137,15.6,5.5,184.5,60.7,27.2,162.8,23.8,14.2,25.5,43.6,125.4,111.4,<LOD,<LOD,<LOD,5.5,23.5,<LOD,35.7,<LOD,704864.4
11 [Col],02/08/2023,NIST 679,std,rep 5,9769,96929.8,227238.5,<LOD,<LOD,24690.7,1465.6,5189.7,82,52.5,1725.4,91240.5,284.7,45.8,48.6,127.8,23.2,7.9,191.4,53.7,48.2,157.7,21.5,11.8,<LOD,37.3,54.5,127.1,1163.9,20.2,<LOD,<LOD,13.5,<LOD,24,<LOD,695069.7
12 [Col],02/08/2023,SARM 69,std,rep 1,12911.4,80094.2,275286.3,162.3,<LOD,17828.4,15269.3,4763.9,210.4,209.2,969.9,51632.9,106.3,59.4,79.2,67.8,4.5,4.4,74.5,96,35.5,283.4,5.8,10.3,<LOD,<LOD,<LOD,66,383.7,43.1,<LOD,<LOD,19.8,<LOD,<LOD,<LOD,697367.6
13 [Col],02/08/2023,SARM 69,std,rep 2,11314,75451.1,267164.3,156.5,<LOD,17252.8,14497.8,4491.1,277.5,119.9,993.1,49725.5,130.5,50.6,80.2,74.3,10.3,4,70.2,106,31.2,306.8,11.7,12.3,12.7,23.9,53.2,25.6,790.4,<LOD,<LOD,4.9,8.6,28.7,<LOD,<LOD,712889.9
14 [Col],02/08/2023,SARM 69,std,rep 3,12876.9,79211.8,273694.6,187.8,<LOD,17662.2,15221.4,5024.1,193,168.9,891.9,51612.6,314.7,81.4,64.8,66.1,10.9,3.5,78.3,104.9,31.9,291.9,11.2,<LOD,42.6,75.6,68.5,49.3,757.9,<LOD,<LOD,<LOD,9.2,35.8,<LOD,3.8,698783.6
15 [Col],02/08/2023,SARM 69,std,rep 4,12073.2,80963.3,275159.3,230.7,<LOD,17684,15415.2,4741.6,115.1,187.1,958.7,51234.6,<LOD,71,83.8,67.9,9,2.1,73.8,104.9,33.2,267.3,6.8,12.2,26,39,49.8,76.8,931.6,13.5,<LOD,<LOD,15.8,<LOD,<LOD,<LOD,697715.3
16 [Col],02/08/2023,SARM 69,std,rep 5,12482.3,79668.9,272626.5,176.6,<LOD,17794,14868.7,4573.6,105.4,142.6,994.2,50938,342.4,58.5,77.9,64.5,4.8,3.3,74.4,98.6,29.2,262,9.1,9.6,12.5,<LOD,54.2,66.6,1154.2,25.6,<LOD,<LOD,15.7,20.1,<LOD,<LOD,700917.4
2 [Col],03/08/2023,NIST 2711a,std,rep 1,13256,72252.2,271126.3,<LOD,<LOD,26104.5,24448.5,2996.3,197.2,<LOD,787.5,29307,208.9,28.5,170.9,389.4,136,<LOD,119.4,258.7,34.7,251.9,17.4,14,<LOD,96.9,43.4,103.7,1212.6,40.5,<LOD,<LOD,1350.2,<LOD,<LOD,<LOD,717910.6
3 [Col],03/08/2023,NIST 2711a,std,rep 2,13390.4,72898,272749.4,<LOD,<LOD,26431.3,24295.8,3071.2,132.7,44.2,696.1,28402,56.3,42.9,217.2,370.1,135.5,<LOD,118.5,263.7,41.4,353.5,13.8,<LOD,<LOD,66.3,47.9,32.8,426.6,<LOD,<LOD,15.5,1310.2,39.1,<LOD,4.8,717526.2
4 [Col],03/08/2023,NIST 2711a,std,rep 3,15005.5,71096.6,271226.3,<LOD,<LOD,26485.3,24377.8,3403.7,71.2,35.9,673.6,29044.8,46.7,27.2,208.8,381.1,138.2,1.8,115.5,275.4,33.5,341.4,16.2,14.1,<LOD,40.6,19.4,70.9,779.6,17.3,5.4,7.9,1385.8,<LOD,8.7,<LOD,717084.7
5 [Col],03/08/2023,NIST 2711a,std,rep 4,13690.3,71131.2,269403.4,<LOD,<LOD,26384.8,24049.9,3229.5,119.7,70.8,735.7,30386.7,82.3,31.9,177.6,431.2,156,3,116.5,270.1,38.6,289.2,24.9,20.5,16.2,58.2,27.6,115.4,900.7,<LOD,<LOD,10.6,1331.2,<LOD,<LOD,<LOD,719050.8
6 [Col],03/08/2023,NIST 2711a,std,rep 5,13943.6,71189.6,271424.7,<LOD,<LOD,26253.2,23737.1,3500.7,92.1,45.8,588.2,28682.2,128.6,12.5,180.9,396.1,136.4,7,123.4,261,33.5,268.3,16.5,9,14,72.4,18.1,40.4,720.9,<LOD,<LOD,7,1331.8,17.1,16.5,<LOD,719040.5
7 [Col],03/08/2023,NIST 679,std,rep 1,9769,94568,225547,<LOD,<LOD,24619,1540.2,5839.9,320,76.3,1388.4,91467.4,217.4,38.1,62.6,125.1,15.4,5.1,190.9,62.3,48.4,158.1,10.7,4.2,27.6,<LOD,33.8,75.3,<LOD,<LOD,<LOD,<LOD,13.7,<LOD,31.6,6.9,698966.9
8 [Col],03/08/2023,NIST 679,std,rep 2,9769,91842,220225.3,<LOD,<LOD,24001.8,1626.8,5565.9,201,126.4,1704.1,92040.4,<LOD,51.9,80.7,127.4,16.9,1.8,187.7,49,42.2,174.1,22.1,10.4,41.8,62.2,37.5,69.6,659.5,27,<LOD,<LOD,8.1,<LOD,<LOD,<LOD,705234.5
9 [Col],03/08/2023,NIST 679,std,rep 3,9769,94413.3,226600.7,<LOD,<LOD,24768,1515.6,5338.8,244.9,71.5,1692.8,95273.2,<LOD,68.8,49.2,125.7,30.1,2.6,179.8,48.1,32.9,150.7,19.6,10,18.7,51.6,62.7,110.2,794.2,<LOD,<LOD,<LOD,4,<LOD,53.3,<LOD,693840.3
10 [Col],03/08/2023,NIST 679,std,rep 4,9769,96429.1,228069,<LOD,<LOD,25379,1679.9,5958.9,187.6,101.6,1857.6,93325,<LOD,35.2,87.8,123.5,24.9,3.6,201.9,48.8,38.3,165.7,18.6,13.1,37.9,18,55.1,92.3,<LOD,55.7,<LOD,<LOD,11.9,<LOD,38.1,<LOD,692341.8
11 [Col],03/08/2023,NIST 679,std,rep 5,9769,92394.1,224719.3,<LOD,<LOD,24825.5,1563.3,5762.1,162.7,56.6,1507.3,93611.7,174.2,39.1,60,125.5,21.4,7,200.6,51.5,39.9,152.8,14,10.1,<LOD,22.4,43.1,65.7,<LOD,44.3,<LOD,<LOD,15.6,<LOD,40.1,5,699270.6
12 [Col],03/08/2023,SARM 69,std,rep 1,13206.4,79680.3,273349.9,160.9,<LOD,17850.9,14710.9,4464.2,315.4,258.6,965.6,51543.6,290.6,59.6,69.4,72.6,6,3.3,76.7,105.6,30.8,292.9,13.8,15,13.6,39.5,67.4,82.7,1199.9,16.4,<LOD,<LOD,17,33,<LOD,7,698561.9
13 [Col],03/08/2023,SARM 69,std,rep 2,12033.3,80845.2,277054.4,193,<LOD,18043.1,15100.6,5079.4,138.1,289.9,991.6,52495.4,88.4,66.9,95.2,88.6,14,3.9,79.7,96.7,33.1,341.3,6.6,5.1,24.1,37.9,57.5,131.6,439.4,<LOD,<LOD,8.3,12.6,<LOD,23.9,<LOD,694565.7
14 [Col],03/08/2023,SARM 69,std,rep 3,12111.3,79589.8,266934,168.5,<LOD,17500,14685.7,5180.9,101.5,271.2,971.3,52425.6,137.4,63,81,77,9.3,5.9,78,96.6,25.4,297.1,14.5,9.2,17.7,52.6,58.7,64.4,<LOD,16.6,<LOD,6.3,12.7,<LOD,10.1,<LOD,705958.6
15 [Col],03/08/2023,SARM 69,std,rep 4,13215.8,79105,270687,173.7,<LOD,17935.4,15101.3,4497.5,<LOD,142.7,818.6,49860.8,82.7,58.5,64.1,74.4,<LOD,4.3,71,90,26.7,306,8.6,7.8,14.3,15.4,43.2,104.8,1264.1,14.1,<LOD,<LOD,19.4,<LOD,<LOD,3.3,703623.8
16 [Col],03/08/2023,SARM 69,std,rep 5,12103.6,80910.9,277523.9,192.2,<LOD,17877.5,14888.3,4590.6,123.8,273.1,884.8,50384.8,<LOD,58.4,69.5,63.9,7.1,<LOD,74.4,104.8,28,274.2,7.9,8.4,<LOD,26.9,39.6,37.4,423.9,23.9,<LOD,<LOD,17.9,22.8,<LOD,<LOD,697389.2
2 [Col],22/08/2023,NIST2711a,standard,rep 1,14760,70232,268661,<LOD,<LOD,26393,23816,3677,83,<LOD,683,29996,132,14,168,432,128,<LOD,121,278,36,273,26,19,21,61,63,107,1269,18,<LOD,13,1395,<LOD,25,<LOD,718910
3 [Col],22/08/2023,NIST2711a,standard,rep 2,14426,69390,265667,<LOD,<LOD,25815,23732,3057,<LOD,60,630,27819,165,20,168,402,115,5,120,251,36,302,21,7,18,53,30,68,523,<LOD,<LOD,13,1282,<LOD,12,<LOD,727036
4 [Col],22/08/2023,NIST2711a,standard,rep 3,12755,71235,270876,<LOD,<LOD,26686,24899,3342,<LOD,<LOD,643,31171,108,13,186,415,164,<LOD,125,286,36,258,17,7,15,91,64,88,1554,40,<LOD,13,1383,<LOD,27,<LOD,716586
5 [Col],22/08/2023,NIST2711a,standard,rep 4,13524,72131,273188,<LOD,<LOD,26732,25129,3237,174,37,564,30852,<LOD,13,166,423,129,2,121,264,28,322,25,13,42,82,77,97,413,17,<LOD,16,1393,<LOD,8,<LOD,714227
6 [Col],22/08/2023,NIST2711a,standard,rep 5,15315,69374,268265,<LOD,<LOD,26716,23751,3051,105,48,668,28666,<LOD,29,178,377,145,3,117,270,34,293,23,9,60,75,34,52,905,54,<LOD,<LOD,1361,<LOD,9,8,721682
7 [Col],22/08/2023,NIST 679,standard,rep 1,9769,91548,220028,<LOD,<LOD,24321,1647,5431,228,92,1707,92569,<LOD,61,66,116,23,10,188,54,40,152,20,14,<LOD,35,38,79,925,37,<LOD,8,16,<LOD,8,4,704839
8 [Col],22/08/2023,NIST 679,standard,rep 2,9769,90271,220672,<LOD,<LOD,24200,1641,5422,100,34,1702,92503,168,80,67,123,27,8,186,55,33,162,25,17,50,51,86,112,758,54,<LOD,<LOD,14,22,<LOD,<LOD,705381
9 [Col],22/08/2023,NIST 679,standard,rep 3,9769,89990,220593,<LOD,<LOD,24447,1511,5802,191,32,1631,93159,97,70,91,122,23,6,202,50,43,174,23,10,28,37,53,111,<LOD,<LOD,<LOD,<LOD,20,<LOD,38,<LOD,705423
10 [Col],22/08/2023,NIST 679,standard,rep 4,9769,92589,221544,<LOD,<LOD,23967,1395,5071,234,<LOD,1792,90363,240,48,56,128,26,4,188,50,36,157,20,6,<LOD,<LOD,45,47,848,21,<LOD,13,18,<LOD,24,<LOD,705513
11 [Col],22/08/2023,NIST 679,standard,rep 5,9769,86754,214973,<LOD,<LOD,23412,1555,5461,280,87,1534,90772,264,62,55,115,16,3,188,54,37,166,20,9,<LOD,24,44,106,<LOD,<LOD,<LOD,5,22,<LOD,9,5,716433
12 [Col],22/08/2023,SARM 69,standard,rep 1,12959,78233,268081,153,<LOD,17555,14858,4707,126,152,1051,51303,174,71,55,62,7,2,78,105,29,251,10,10,<LOD,34,43,44,1000,<LOD,8,9,22,<LOD,<LOD,<LOD,705621
13 [Col],22/08/2023,SARM 69,standard,rep 2,12578,77958,268299,152,<LOD,17717,14568,4505,216,262,963,50567,235,59,82,72,3,3,74,104,26,285,6,<LOD,50,46,30,57,1202,<LOD,4,<LOD,19,<LOD,7,<LOD,706662
14 [Col],22/08/2023,SARM 69,standard,rep 3,9769,79959,272472,189,<LOD,18406,14985,4338,327,177,940,52366,<LOD,67,102,72,10,3,77,97,27,307,5,10,19,20,36,55,635,16,<LOD,<LOD,18,<LOD,18,8,702944
15 [Col],22/08/2023,SARM 69,standard,rep 4,11560,78729,270051,200,<LOD,17752,15286,4774,343,103,904,51803,242,40,85,71,13,4,75,102,40,264,4,10,18,32,56,91,429,<LOD,<LOD,<LOD,14,17,<LOD,<LOD,704431
16 [Col],22/08/2023,SARM 69,standard,rep 5,13471,79687,275295,235,<LOD,18390,15354,5409,<LOD,195,1006,52766,<LOD,44,138,73,10,<LOD,77,106,33,306,12,11,<LOD,51,63,66,906,<LOD,<LOD,<LOD,16,<LOD,28,<LOD,694334
1 [Col],14/05/2024,NIST 2711a,std,rep 1,14782,69584,265770,<LOD,<LOD,26958,24551,3181,<LOD,87,655,29057,50,17,163,363,132,5,119,251,31,351,25,7,12,80,23,82,1518,38,<LOD,<LOD,1319,<LOD,<LOD,<LOD,722799
2 [Col],14/05/2024,NIST 2711a,std,rep 2,13594,69569,260279,<LOD,<LOD,26870,24961,2981,71,104,690,28836,92,21,178,398,153,3,124,252,28,303,18,10,17,67,39,87,1535,41,<LOD,10,1352,<LOD,<LOD,<LOD,729210
3 [Col],14/05/2024,NIST 2711a,std,rep 3,12937,69986,266201,<LOD,<LOD,26372,24421,2891,126,97,613,27918,165,22,145,400,130,3,120,250,29,318,26,11,19,66,27,82,1962,30,<LOD,10,1294,36,<LOD,<LOD,725456
4 [Col],14/05/2024,NIST 2711a,std,rep 4,14818,69948,267316,<LOD,<LOD,27258,25880,3342,<LOD,99,790,29792,<LOD,33,177,418,143,<LOD,121,267,29,320,14,5,16,87,86,95,1510,<LOD,<LOD,9,1379,<LOD,9,5,718820
5 [Col],14/05/2024,NIST 2711a,std,rep 5,13830,70391,268520,<LOD,<LOD,26742,25026,3436,203,<LOD,608,29764,<LOD,38,177,388,123,<LOD,120,257,26,272,23,13,<LOD,79,31,80,1418,<LOD,<LOD,<LOD,1325,<LOD,7,<LOD,719716
6 [Col],14/05/2024,NIST 679,std,rep 1,9769,89060,218471,466,<LOD,24860,1920,5720,417,88,1537,88368,178,51,89,134,25,6,186,49,37,161,15,<LOD,15,64,131,80,<LOD,30,4,<LOD,4,<LOD,19,<LOD,711778
7 [Col],14/05/2024,NIST 679,std,rep 2,9769,88828,216347,462,<LOD,24403,1925,5176,174,84,1536,85986,270,47,62,123,18,4,189,44,35,155,16,11,42,32,43,62,548,<LOD,<LOD,<LOD,13,24,<LOD,<LOD,716953
