Sample,Collection,Ware,tomb,component,MgO,Al2O3,SiO2,K2O,CaO,Fe2O3,Mg,Al,Si,K,Ca,Fe,Ti,Mn,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
CA230139,San Damián,Piartal ,,fabric,<LOD,17.74,64.52,1.28,2.04,2.86,<LOD,93908,301587,10638,14607,19971,4709,312,<LOD,44,56,571,9,182,13,16
CA230139,San Damián,Piartal ,,red,,,,,,,10510,78084,318266,10531,15181,26311,5276,357,17,39,,589,9,188,15,17
CA230140,San Damián,Tuza,,fabric,<LOD,20.88,56.32,1.11,1.59,3,<LOD,110526,263250,9217,11395,21018,6038,292,41,69,56,546,9,202,21,19
CA230140,San Damián,Tuza,,red,,,,,,,<LOD,75423,282614,8447,11989,27676,7663,279,29,42,,524,9,202,15,13
CA230141,San Damián,Piartal,,black ,,,,,,,<LOD,93850,285580,8317,11104,19437,6757,209,10,43,,450,7,162,9,12
CA230141,San Damián,Piartal,,cream,,,,,,,<LOD,90926,303282,9201,12097,16053,5982,246,<LOD,43,,466,8,144,9,15
CA230141,San Damián,Piartal,,fabric,1.68,19.29,60.26,1.01,1.8,2.35,10118,102097,281671,8392,12873,16414,4837,244,<LOD,63,47,454,7,145,10,16
CA230141,San Damián,Piartal,,red,,,,,,,<LOD,91082,278557,7528,10995,18605,6937,208,<LOD,44,,444,8,130,10,12
CA230142,San Damián,Piartal,,black ,,,,,,,<LOD,71976,319946,11586,15334,15880,3979,240,<LOD,36,,517,6,135,7,15
CA230142,San Damián,Piartal,,cream,,,,,,,<LOD,84887,310580,9189,14634,15271,3666,235,<LOD,30,,451,6,136,13,10
CA230142,San Damián,Piartal,,fabric,<LOD,18.02,63.48,1.04,2.01,2.01,<LOD,95366,296738,8654,14335,14081,3849,267,<LOD,41,50,488,7,139,10,17
CA230143,San Damián,Piartal ,,black ,,,,,,,<LOD,76234,300597,11643,12191,16494,5527,278,13,39,,481,7,179,21,15
CA230143,San Damián,Piartal ,,fabric,<LOD,17.07,56.78,0.96,1.7,2.46,<LOD,90351,265404,7933,12159,17178,4921,350,<LOD,43,45,473,11,199,20,16
CA230143,San Damián,Piartal ,,red,,,,,,,<LOD,69669,276866,8824,11444,22645,5679,249,11,44,,458,8,174,16,20
CA230144,San Damián,Piartal ,,black ,,,,,,,<LOD,74617,310965,11346,14356,17321,5530,363,10,34,,440,9,195,11,12
CA230144,San Damián,Piartal ,,cream,,,,,,,<LOD,94036,315711,12519,12675,17378,4680,284,<LOD,38,,463,7,185,14,12
CA230144,San Damián,Piartal ,,fabric,<LOD,16.34,67.16,0.94,2.02,2.15,<LOD,86460,313942,7842,14466,15048,4987,299,<LOD,38,35,446,6,179,12,19
CA230145,San Damián,Piartal ,,black ,,,,,,,<LOD,73351,333100,11714,15358,14948,5493,332,<LOD,33,,457,8,193,12,18
CA230145,San Damián,Piartal ,,cream,,,,,,,<LOD,81763,330829,11247,15241,14860,6203,307,10,42,,465,8,225,11,15
CA230145,San Damián,Piartal ,,fabric,1.66,18.07,64.46,0.93,2.03,2.03,9983,95621,301316,7728,14493,14229,4774,300,<LOD,43,36,457,7,171,12,18
CA230146,San Damián,Piartal ,,black ,,,,,,,10390,94164,301189,12247,12731,17179,4788,274,13,44,,448,7,203,11,14
CA230146,San Damián,Piartal ,,cream,,,,,,,<LOD,82491,329823,11196,13743,17671,4990,315,11,39,,457,9,174,10,13
CA230146,San Damián,Piartal ,,fabric,1.68,18.94,62.77,0.9,1.94,2.47,10140,100250,293391,7442,13896,17281,5134,305,<LOD,44,38,452,8,187,11,<LOD
CA230146,San Damián,Piartal ,,red,,,,,,,<LOD,88674,292414,8893,11847,24142,6132,256,10,41,,447,6,180,13,15
CA230147,San Damián,undecorated,,fabric,<LOD,17.5,52.13,0.99,1.71,4.71,<LOD,92599,243693,8246,12204,32909,5588,395,<LOD,66,61,442,13,198,17,17
CA230148,San Damián,undecorated,,fabric,1.7,17.59,58.8,2.14,1.89,4.88,10267,93098,274850,17768,13498,34108,4091,596,21,97,95,548,11,181,16,17
CA230149,San Damián,undecorated,,fabric,1.71,21.29,58.27,1.04,1.88,6.02,10315,112652,272377,8598,13421,42127,4780,513,19,89,57,390,13,215,14,16
CA230150,San Damián,Tuza,,cream,,,,,,,<LOD,75530,321996,15828,14225,13875,4934,329,10,52,,492,7,145,14,19
CA230150,San Damián,Tuza,,fabric,<LOD,15.67,62.6,1.6,2.05,2.16,<LOD,82952,292597,13278,14630,15104,4849,305,<LOD,55,57,493,9,152,14,22
CA230150,San Damián,Tuza,,red,,,,,,,<LOD,76396,294644,14053,13122,22610,6452,288,12,57,,496,10,153,17,13
CA230151,San Damián,red slip,,fabric,1.67,18,56.45,1.25,2.07,4.03,10094,95240,263866,10392,14827,28187,5496,428,<LOD,77,53,559,11,190,13,24
CA230151,San Damián,red slip,,red,,,,,,,<LOD,90977,253720,9668,14611,38774,9079,386,8,74,,610,16,156,11,23
CA230152,San Damián,red slip,,fabric,1.7,20.18,64.02,1.22,2.03,2.67,10241,106828,299233,10109,14521,18681,4775,272,16,72,65,501,9,190,13,21
CA230152,San Damián,red slip,,red,,,,,,,<LOD,87175,271897,7547,9901,43328,7444,242,14,79,,488,7,167,15,14
CA230153,San Damián,undecorated,,fabric,<LOD,19.09,61.21,1.27,1.87,3.59,<LOD,101052,286093,10511,13333,25120,5120,316,18,76,63,569,9,184,12,22
CA230154,San Damián,undecorated,,fabric,<LOD,16.82,63.86,1.29,2.18,2.9,<LOD,89019,298489,10693,15588,20288,4239,285,<LOD,61,73,565,10,182,15,16
CA230155,San Damián,undecorated,,fabric,1.7,17.73,61.21,1.21,2.05,3.47,10277,93829,286124,10010,14649,24252,5147,292,<LOD,46,67,446,12,177,13,16
CA230156,San Damián,Piartal,,black ,,,,,,,<LOD,84036,291771,8670,12616,26612,4486,281,<LOD,33,,403,8,168,8,14
CA230156,San Damián,Piartal,,cream,,,,,,,<LOD,78301,301420,9097,13546,20712,4548,288,11,33,,426,7,142,14,10
CA230156,San Damián,Piartal,,fabric,<LOD,17.36,60.76,1.08,1.79,3,<LOD,91886,284017,8955,12816,20966,5239,346,<LOD,54,39,430,8,159,14,15
CA230156,San Damián,Piartal,,red,,,,,,,<LOD,85381,286364,8169,11555,24136,6042,348,<LOD,31,,434,8,153,9,10
CA230157,San Damián,undecorated,,fabric,1.76,17.34,66.16,1.21,2.23,4.24,10643,91768,309269,10028,15939,29676,5067,516,16,55,56,433,12,169,13,17
CA230158,San Damián,undecorated,,fabric,1.73,17.43,61.14,1.19,2.48,3.76,10448,92258,285796,9839,17760,26301,5533,330,16,59,52,540,13,177,18,<LOD
CA230159,San Damián,undecorated,,fabric,1.83,19.7,58.31,0.84,1.75,4.33,11006,104246,272580,6943,12489,30296,4868,262,<LOD,112,52,326,7,146,<LOD,16
CA230160,San Damián,undecorated,,fabric,1.66,18.74,61.84,1.11,2,3.17,10016,99193,289073,9219,14304,22143,4263,262,<LOD,47,63,583,10,152,11,18
CA230161,San Damián,undecorated,,fabric,<LOD,20.64,61.29,1.53,2.14,4.7,<LOD,109262,286478,12663,15283,32859,4213,297,22,49,71,585,13,167,13,16
CA230162,San Damián,undecorated,,fabric,1.83,18.9,63.16,1.08,2.06,2.81,11037,100018,295222,8970,14694,19621,4330,278,<LOD,79,66,438,8,134,11,17
CA230163,San Damián,Tuza,39,black ,,,,,,,10681,41037,182204,6542,8383,51781,2464,7496,22,52,,670,10,174,14,11
CA230163,San Damián,Tuza,39,cream,,,,,,,<LOD,62743,288120,11404,14314,24728,4199,1163,<LOD,43,,730,11,166,17,19
CA230163,San Damián,Tuza,39,fabric,1.68,16.83,65.32,1.41,2.27,3.06,10144,89085,305337,11735,16255,21424,4399,470,<LOD,43,48,681,7,165,14,<LOD
CA230163,San Damián,Tuza,39,red,,,,,,,10449,85904,287841,15594,14301,25865,4568,414,9,44,,696,10,178,15,13
CA230164,San Damián,Tuza,39,black ,,,,,,,<LOD,55129,246232,10285,13895,31128,3619,2778,15,50,,758,10,178,18,17
CA230164,San Damián,Tuza,39,cream,,,,,,,<LOD,64965,301254,12743,17005,19967,4274,474,10,44,,770,8,176,16,19
CA230164,San Damián,Tuza,39,fabric,<LOD,16.11,65.18,1.5,2.26,2.87,<LOD,85282,304650,12455,16120,20088,5248,448,<LOD,42,48,764,8,162,16,<LOD
CA230164,San Damián,Tuza,39,red,,,,,,,<LOD,73328,299549,13758,16856,22839,4758,332,11,64,,753,10,203,16,22
CA230165,San Damián,red slip,39,fabric,1.71,15.44,61.98,2.08,1.96,3.41,10294,81734,289715,17265,13983,23884,4037,376,<LOD,66,65,701,9,206,19,18
CA230165,San Damián,red slip,39,red (ext),,,,,,,10642,75032,314454,14281,15538,28424,5968,331,7,62,,681,8,167,19,13
CA230165,San Damián,red slip,39,red (int),,,,,,,<LOD,102631,201301,16678,4909,68948,7754,736,127,77,,590,12,174,18,5
CA230166,San Damián,undecorated?,39,fabric,<LOD,16.77,66.77,1.51,2.18,2.8,<LOD,88753,312118,12507,15580,19575,3941,508,<LOD,41,47,677,10,163,12,<LOD
CA230167,San Damián,undecorated,39,fabric,<LOD,18.21,58.8,1.1,1.64,4.47,<LOD,96362,274836,9107,11707,31293,4852,645,<LOD,56,42,476,10,223,17,18
CA230168,San Damián,red slip,39,fabric,<LOD,14.48,66.35,2.07,2.6,3.6,<LOD,76660,310147,17184,18608,25205,4095,695,17,59,67,769,10,190,18,16
CA230168,San Damián,red slip,39,red,,,,,,,<LOD,72078,221338,4309,10174,55985,8023,533,31,53,,651,12,207,19,14
CA230169,San Damián,red slip,39,fabric,<LOD,17.46,69.64,1.56,2.4,3.24,<LOD,92395,325521,12972,17176,22644,3903,397,<LOD,49,56,754,9,191,17,16
CA230169,San Damián,red slip,39,red,,,,,,,10279,76438,247104,5266,10996,57961,8604,429,56,47,,659,12,201,19,14
CA230170,San Damián,red slip,39,cream,,,,,,,10227,78225,306067,20263,19213,19170,4407,330,12,67,,661,7,179,21,15
CA230170,San Damián,red slip,39,fabric,<LOD,18.09,59.92,1.14,1.95,3.26,<LOD,95733,280096,9464,13955,22812,4151,434,<LOD,56,45,557,8,199,14,19
CA230170,San Damián,red slip,39,red,,,,,,,<LOD,68318,210841,5355,8724,65883,8561,541,102,96,,452,10,197,18,6
CA230171,San Damián,Tuza,39,black ,,,,,,,<LOD,54305,252813,11334,12309,29937,3633,2661,8,49,,612,8,173,18,11
CA230171,San Damián,Tuza,39,cream,,,,,,,<LOD,77523,333553,14481,14620,19975,4276,332,<LOD,35,,625,8,160,19,12
CA230171,San Damián,Tuza,39,fabric,<LOD,17.44,62.54,1.46,1.82,3.57,<LOD,92305,292317,12136,13036,24950,3690,459,<LOD,68,50,585,8,162,17,19
CA230172,San Damián,Tuza,39,black ,,,,,,,11728,43982,157668,4706,7432,61328,2000,11136,32,47,,666,10,155,13,4
CA230172,San Damián,Tuza,39,cream,,,,,,,<LOD,84476,353346,12666,16502,20524,4751,379,10,37,,753,6,165,16,16
CA230172,San Damián,Tuza,39,fabric,<LOD,18.17,61.74,1.36,1.8,3.49,<LOD,96171,288584,11254,12879,24410,4049,523,<LOD,52,48,674,9,150,17,17
CA230172,San Damián,Tuza,39,red (ext),,,,,,,<LOD,93162,292322,10832,15448,24571,4586,578,8,48,,744,8,154,15,17
CA230172,San Damián,Tuza,39,red (int),,,,,,,<LOD,56523,239209,7472,10715,36830,3592,510,<LOD,46,,687,8,160,16,16
CA230173,San Damián,undecorated,39,fabric,<LOD,19.26,61.23,1.22,1.98,5.25,<LOD,101955,286184,10142,14174,36733,4470,658,<LOD,70,48,443,10,195,16,17
CA230174,San Damián,undecorated,39,fabric,1.78,16.88,54.22,1.24,2.92,3.68,10719,89356,253426,10279,20853,25767,3848,804,17,93,47,547,11,203,17,19
CA230175,San Damián,undecorated,39,fabric,1.69,23.85,59.02,1.27,1.71,3.21,10174,126214,275863,10550,12207,22455,5380,358,17,68,50,573,10,185,13,21
CA230176,San Damián,Piartal,28,black ,,,,,,,<LOD,91311,301088,11222,17097,25012,5838,305,12,37,,396,10,208,16,16
CA230176,San Damián,Piartal,28,cream,,,,,,,<LOD,92090,293804,9928,13279,21868,5047,262,<LOD,39,,376,12,170,12,14
CA230176,San Damián,Piartal,28,fabric,<LOD,21.8,57.41,1.07,1.63,3.25,<LOD,115389,268343,8842,11664,22742,5025,270,<LOD,59,37,350,7,155,9,21
CA230176,San Damián,Piartal,28,red,,,,,,,<LOD,92592,262917,8723,12297,28478,7178,252,8,43,,399,9,189,11,13
CA230286,Bomboná,undecorated,8b,fabric,<LOD,19.73,55.68,1.3,2.27,5.65,<LOD,104409.92,260251.76,10804.96,16230.66,39521.6,4736,1002,17,87,54,717,12,209,17,22
CA230287,Bomboná,undecorated,,fabric,<LOD,17.49,56,1.5,1.48,4.89,<LOD,92550.94,261780.96,12472.2,10561.4,34224.3,4512,385,<LOD,74,48,556,12,146,11,16
CA230288,Bomboná,Piartal,,fabric,<LOD,12.48,46.55,1.29,1.59,3.26,<LOD,66043,217605,10720,11338,22820,3785,378,<LOD,42,49,715,10,184,16,17
CA230289,Bomboná,Tuza,,fabric,1.72,21.97,65.07,1.28,1.6,5.99,10390,116303,304156,10607,11448,41925,5339,1257,22,89,55,664,10,199,17,20
CA230290,Bomboná,Tuza,,fabric,<LOD,20.39,57.74,1.39,1.65,3.17,<LOD,107918.16,269898.36,11524.52,11824.7,22192.3,4174,277,<LOD,59,47,671,8,164,16,20
CA230291,Bomboná,undecorated,8b,fabric,1.78,19.72,54.93,0.85,1.31,7.67,10727,104359,256750,7064,9358,53640,6689,2857,18,62,51,440,15,230,15,18
CA230292,Bomboná,Tuza,,fabric,<LOD,13.68,64.8,1.54,2.49,2.71,<LOD,72378,302896,12763,17768,18955,5646,348,<LOD,35,46,494,10,218,20,17
CA230293,Bomboná,undecorated,,fabric,1.67,16.87,52.35,1.27,1.86,8.19,10085.78,89270.84,244703.5,10579.16,13279.12,57257.92,3711,602,40,93,58,613,27,147,9,15
CA230294,Bomboná,undecorated,,fabric,<LOD,20.71,56.99,1.16,1.77,5.85,<LOD,109605.36,266400.5,9659.04,12640.42,40929.56,4786,488,20,63,59,558,8,166,10,17
CA230295,Bomboná,undecorated,,fabric,<LOD,16.74,53.19,1.74,2.26,4.59,<LOD,88614.68,248644.46,14453.72,16147.4,32122.92,5040,519,18,116,63,722,14,170,9,18
CA230296,Bomboná,Piartal,,fabric,<LOD,19.96,54.95,1.24,1.13,4.19,<LOD,105661.38,256828.42,10313.9,8097.8,29279.4,4686,227,<LOD,40,36,375,7,190,14,25
CA230297,Bomboná,undecorated,,fabric,<LOD,19.92,48.95,0.89,1.57,5.08,<LOD,105419.22,228821.38,7396.4,11214.08,35563.7,4323,291,<LOD,59,63,505,7,201,17,26
CA230298_1,Bomboná,Amazonia?,,fabric,1.72,16.32,45.76,1.56,1.39,7.4,10348.56,86355.46,213900.04,12934.44,9925.2,51751.32,4776,1032,39,122,112,192,38,178,17,29
CA230298_2,Bomboná,Amazonia?,,fabric,2.27,19.9,53.92,2.38,1.12,7.47,13706.54,105316.5,252015.62,19763.6,7980.54,52260.32,5469,1234,36,138,115,153,38,195,21,24
CA230299,Bomboná,Capulí,,fabric,<LOD,22.77,45.27,1.43,1.09,4.82,<LOD,120522.54,211596.76,11839.44,7763.02,33698.24,4012,760,<LOD,55,63,446,10,295,15,16
CA230301,Bomboná,undecorated,,fabric,<LOD,18.5,54.78,1.58,1.76,5.32,<LOD,97934.52,256067.98,13141.96,12590.84,37207.1,5257,376,40,99,60,580,16,192,10,16
CA230334,MO,Capuli,,black ,,,,,,,10058,95768,203831,9452,8301,48527,6463,1591,39,94,,568,13,206,13,25
CA230334,MO,Capuli,,fabric,1.9,14.65,55.61,1.3,2.47,6.45,11468,77537,259948,10763,17633,45131,5514,465,22,82,57,621,9,237,18,27
CA230334,MO,Capuli,,red,,,,,,,<LOD,100158,207348,9899,6888,52658,7002,985,33,83,,521,11,235,15,15
CA230335,MO,Tuza ,,fabric,<LOD,15.9,56.81,2,2.07,3.27,<LOD,84177,265550,16571,14803,22899,4012,294,25,61,46,773,10,238,20,17
CA230335,MO,Tuza ,,red,,,,,,,<LOD,56479,172894,6165,6497,58933,2907,367,8,35,,673,10,205,17,7
CA230336,MO,Piartal,,black ,,,,,,,10450,64405,277987,15036,15209,35329,3510,206,17,48,,510,19,182,16,23
CA230336,MO,Piartal - 2,,fabric,1.77,15.76,53.38,1.99,2.64,3.46,10696,83402,249491,16539,18857,24188,3985,326,25,70,51,586,27,217,17,22
CA230336,MO,Piartal,,red,,,,,,,11006,76352,209963,12640,12219,46333,5684,307,15,56,,472,15,197,15,15
CA230337,MO,Piartal,,black ,,,,,,,<LOD,103942,261846,13284,7808,21132,3899,1525,18,43,,431,11,195,19,18
CA230337,MO,Piartal,,cream,,,,,,,<LOD,89293,293350,13664,7170,20103,4123,1097,16,35,,433,12,217,18,20
CA230337,MO,Piartal - 2,,fabric,<LOD,17.8,47.95,1.09,1.12,4.43,<LOD,94187,224119,9035,8014,31006,3542,1474,40,55,49,421,11,180,19,16
CA230337,MO,Piartal,,red,,,,,,,<LOD,110727,221614,9660,5528,35293,6492,592,19,42,,410,11,199,20,20
CA230338,MO,Piartal,,black ,,,,,,,<LOD,76595,274776,13901,8793,25886,3832,525,14,47,,462,12,156,14,18
CA230338,MO,Piartal,,cream,,,,,,,<LOD,70284,293113,13635,7696,27110,3873,267,15,44,,499,11,173,12,16
CA230338,MO,Piartal - 2,,fabric,1.88,15.78,54.22,3.35,1.8,4.87,11346,83494,253431,27842,12834,34063,4147,546,27,83,58,634,13,170,15,16
CA230338,MO,Piartal,,red,,,,,,,10978,93181,189000,10542,3792,48685,5197,356,22,65,,531,11,161,11,16
CA230339,MO,Piartal,,black ,,,,,,,<LOD,106660,232370,11205,9179,23125,4817,387,22,44,,615,11,224,22,27
CA230339,MO,Piartal,,cream,,,,,,,<LOD,92034,247705,11978,9684,22286,4435,333,19,54,,645,9,207,17,22
CA230339,MO,Piartal - 1,,fabric,1.67,17.59,52.27,1.4,1.93,3.23,10043,93077,244344,11600,13770,22607,4256,384,24,108,54,649,10,217,19,51
CA230339,MO,Piartal,,red,,,,,,,<LOD,96923,208156,6095,5600,35799,5560,360,24,105,,579,10,197,17,34
CA230340,MO,Capuli,,black ,,,,,,,<LOD,98462,205116,13624,9650,35294,4470,274,17,56,,456,10,178,15,24
CA230340,MO,Capuli,,fabric,1.81,13.99,54.54,1.78,1.52,5.8,10892,74033,254945,14766,10831,40542,5502,328,35,78,73,563,9,230,20,24
CA230340,MO,Capuli,,red,,,,,,,<LOD,106468,226524,13275,7942,33840,4676,289,14,50,,462,9,190,17,20
CA230341,MO,Tuza,,fabric,1.65,18.86,57.1,2.41,2.11,2.85,9950,99816,266889,19999,15071,19905,4467,306,19,70,51,701,18,201,22,24
CA230341,MO,Tuza,,red (ext),,,,,,,<LOD,75881,288485,16813,15454,16647,6179,238,7,50,,730,22,197,17,22
CA230341,MO,Tuza,,red (int),,,,,,,<LOD,67998,244034,12460,12059,20784,6467,273,13,157,,748,23,210,22,164
CA230342,MO,Tuza,,fabric,1.74,11.79,44.87,1.36,1.78,3.31,10467,62422,209712,11292,12746,23164,4470,393,<LOD,40,45,735,20,171,13,18
CA230342,MO,Tuza,,red (ext),,,,,,,<LOD,86715,264517,12546,10394,26858,4693,338,14,32,,702,16,173,19,21
CA230342,MO,Tuza,,red (int),,,,,,,<LOD,57637,209226,8774,8313,37107,3881,414,17,40,,744,20,168,18,16
CA230343,MO,Tuza,,fabric,<LOD,13.61,56.94,1.43,1.76,2.75,<LOD,72057,266143,11843,12545,19249,4431,329,18,36,48,662,10,203,19,15
CA230343,MO,Tuza,,red,,,,,,,10756,103642,231457,13620,9612,29525,4676,671,18,46,,656,9,200,20,22
CA230344,MO,Tuza,,cream,,,,,,,10155,76832,273153,13988,15600,20614,3553,230,21,21,,725,6,173,20,18
CA230344,MO,Tuza,,fabric,<LOD,17.28,55.02,1.54,1.93,3.21,<LOD,91475,257159,12780,13829,22449,4001,387,<LOD,38,47,737,7,170,16,22
CA230344,MO,Tuza,,red (ext),,,,,,,<LOD,96540,225200,12790,14716,26420,3932,381,12,35,,805,6,187,17,16
CA230344,MO,Tuza,,red (int),,,,,,,<LOD,58388,213858,9630,10201,43191,2989,197,<LOD,38,,676,7,164,15,18
CA230345,MO,Tuza,,fabric,<LOD,14.73,52.53,2.09,1.73,2.87,<LOD,77940,245552,17358,12400,20068,3496,245,<LOD,34,54,684,8,164,16,22
CA230345,MO,Tuza,,red (ext),,,,,,,10489,81962,252073,12265,11922,27394,4366,444,12,36,,711,7,149,18,19
CA230345,MO,Tuza,,red (int),,,,,,,<LOD,92433,196738,7791,7410,42364,3058,587,12,39,,685,8,150,14,16
CA230346,MO,Tuza,,fabric,1.85,8.01,36.06,0.84,29.09,2.19,11136,42382,168571,6957,207879,15303,5086,1188,<LOD,1164,28,507,9,83,12,848
CA230346,MO,Tuza,,red,,,,,,,11741,96608,246161,17220,9316,44312,5058,435,12,50,,607,15,174,15,21
CA230347,MO,Piartal,,black ,,,,,,,10200,85113,259062,9852,14966,29016,4485,1283,24,67,,559,13,215,12,21
CA230347,MO,Piartal,,cream,,,,,,,10206,78944,283877,11111,15309,32144,4264,403,18,58,,586,11,246,17,23
CA230347,MO,Piartal - 2,,fabric,1.93,15.31,55.46,1.49,2.79,4.36,11615,81033,259248,12403,19913,30526,4033,493,20,61,46,599,10,218,12,23
CA230347,MO,Piartal,,red (ext),,,,,,,12013,87829,247477,12611,17240,36402,4798,441,24,59,,560,10,229,19,24
CA230348,MO,Capuli,,black ,,,,,,,10455,91606,172214,12646,8623,43689,5097,299,10,53,,599,13,258,12,19
CA230348,MO,Capuli,,fabric,1.83,15.12,52.86,1.57,1.64,4.6,11028,80016,247092,13024,11688,32206,4651,292,17,48,48,684,12,223,14,17
CA230348,MO,Capuli,,red,,,,,,,<LOD,101865,198681,13030,9620,39915,5775,265,18,63,,598,14,248,13,19
